"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
498138;2023-01-09;"segunda-feira";"06:40:00";"PR";376;600,3;"CURITIBA";"Velocidade Incompatível";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Declive";"Sim";2;0;0;1;1;0;1;2;-25,53195602;-49,32205901;"SPRF-PR";"DEL01-PR";"UOP06-DEL01-PR"
498145;2023-01-09;"segunda-feira";"06:55:00";"RJ";393;275;"BARRA DO PIRAI";"Chuva";"Colisão lateral sentido oposto";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Simples";"Declive;Curva";"Não";5;0;0;0;4;1;0;4;-22,4739175;-43,99434328;"SPRF-RJ";"DEL05-RJ";"UOP04-DEL05-RJ"
498148;2023-01-09;"segunda-feira";"07:40:00";"PR";376;619;"SAO JOSE DOS PINHAIS";"Ultrapassagem Indevida";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;1;0;1;1;1;3;-25,60034699;-49,17355691;"SPRF-PR";"DEL01-PR";"UOP04-DEL01-PR"
498154;2023-01-09;"segunda-feira";"06:30:00";"MS";163;266;"DOURADOS";"Avarias e/ou desgaste excessivo no pneu";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;0;1;1;1;1;3;-22,21821026;-54,72287079;"SPRF-MS";"DEL04-MS";"UOP01-DEL04-MS"
498158;2023-01-09;"segunda-feira";"09:00:00";"CE";116;44;"HORIZONTE";"Acessar a via sem observar a presença dos outros veículos";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Sim";3;1;0;0;1;3;0;5;-4,12328084;-38,48614261;"SPRF-CE";"DEL01-CE";"UOP02-DEL01-CE"
498161;2023-01-09;"segunda-feira";"07:25:00";"BA";116;805,3;"VITORIA DA CONQUISTA";"Condutor Dormindo";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";5;0;2;0;2;2;2;5;-14,768385;-40,712742;"SPRF-BA";"DEL08-BA";"UOP01-DEL08-BA"
498168;2023-01-09;"segunda-feira";"10:05:00";"RS";116;259,5;"CANOAS";"Demais falhas mecânicas ou elétricas";"Eventos atípicos";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Viaduto";"Sim";2;0;1;0;1;0;1;1;-29,870408;-51,179909;"SPRF-RS";"DEL01-RS";"UOP01-DEL01-RS"
498173;2023-01-09;"segunda-feira";"07:38:00";"MG";365;632;"UBERLANDIA";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-18,89664394;-48,39041999;"SPRF-MG";"DEL15-MG";"UOP01-DEL15-MG"
498177;2023-01-02;"segunda-feira";"13:00:00";"CE";116;327,5;"JAGUARIBE";"Transitar na contramão";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;1;1;1;0;2;2;-6,04962505;-38,6479769;"SPRF-CE";"DEL05-CE";"UOP02-DEL05-CE"
498182;2023-01-09;"segunda-feira";"08:40:00";"MG";116;484;"DOM CAVATI";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Reta";"Não";2;0;0;1;1;0;1;2;-19,42849704;-42,12289089;"SPRF-MG";"DEL06-MG";"UOP02-DEL06-MG"
